Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2021-08-10,1606.0,1609.9000244140625,1572.0,1588.449951171875,1564.8365478515625,1429931,53.893050931999646,1468.2425,1608.030742938702,1568.441650390625,1604.8940998080327,1610.560680792894,7.822130968558313,25.42395806149303,1194.069452514323,1626.5595155587812,1510.3237852224688,21.567207052480853,26.874950782462307,37.652620264833516,48.59261545030731
2021-08-11,1590.199951171875,1597.9000244140625,1562.75,1583.300048828125,1559.7633056640625,1370930,37.203554718323595,1469.4575,1605.84228515625,1570.8549845377604,1600.9679087207767,1602.3918640915447,2.438500236113939,23.782139645394523,1194.2816576270327,1612.8718203305432,1528.8381487449776,18.383882097456535,25.176737045461156,32.598240715690935,39.15423092891226
2021-08-12,1590.0,1627.0,1582.0,1623.449951171875,1599.3162841796875,1645811,58.83917995981119,1471.3154992675782,1607.8307448167068,1574.9516479492188,1605.0555528027944,1609.5650432641646,16.55433894921383,23.265868167095903,1194.5554983773154,1606.6059437029965,1543.2973521954411,18.883162366982106,23.91802210976535,77.16310349899055,49.13798815983835
2021-08-13,1626.0,1676.800048828125,1625.0,1668.4000244140625,1643.5982666015625,5439442,72.26138056057044,1473.7184997558593,1612.4576697716345,1580.8216471354167,1616.5727294593885,1629.6854571013594,34.12124983455814,24.041252571914633,1195.5575440027742,1622.1302396979747,1539.5130545728587,22.64490446223226,23.663398580258733,93.21484563731919,67.65872995066691
2021-08-16,1674.0,1677.050048828125,1653.3499755859375,1656.0999755859375,1631.4810791015625,1794407,66.384660161607,1476.1669995117188,1617.219210111178,1586.503312174479,1623.7595014823974,1640.3681830264718,34.196142263660754,24.766601835610782,1195.891037738528,1632.233414509757,1540.7732098392012,24.352876231911296,23.801294110589247,83.1115961339004,84.49651509007008
2021-08-17,1658.0,1665.0,1625.050048828125,1638.75,1614.388916015625,1838525,60.39185965983256,1478.5539990234374,1620.5076716496394,1590.8633138020834,1626.4850466674159,1642.3039594457648,17.861999190082013,24.273415932358727,1196.218162755001,1637.8586700005842,1543.8679576035827,24.029461460765788,23.846927580624556,66.49166013418116,80.93936730180026
2021-08-18,1647.0,1661.0999755859375,1627.0999755859375,1632.8499755859375,1608.57666015625,1570228,58.43442382108997,1480.8389990234375,1622.9230581430288,1595.1083129882813,1627.6423064707833,1641.5319022194603,17.861999190082003,23.81545759362467,1196.4955578973195,1641.1792846058909,1549.0373413706718,23.031576584691948,23.683857381438035,61.32978621150728,70.31101415986298
2021-08-20,1618.9000244140625,1623.0,1590.0,1593.5999755859375,1569.91015625,2416059,48.44401107227682,1483.0834985351562,1621.357675405649,1597.67998046875,1621.4527917644477,1627.752858071818,0.5434847657647891,22.15317382020611,1196.8850730677077,1643.3904099166245,1551.9695510208755,18.856235709310113,22.71833304701245,26.990343313262404,51.60392988631697
2021-08-23,1600.0999755859375,1619.0,1567.9000244140625,1580.75,1557.2510986328125,1973841,43.42836371699171,1485.179998779297,1617.234600360577,1600.3483154296875,1614.0522841709117,1613.1519231185944,9.599689149062666,21.256496343695865,1197.1925638004925,1648.5626171963686,1552.1340136630065,14.345002091151855,21.043666855840332,15.748024768621855,34.68938476446387
2021-08-24,1590.0,1613.3499755859375,1582.800048828125,1605.800048828125,1581.9288330078125,1580003,44.4509524736184,1487.2549987792968,1615.8961463341345,1603.8883178710937,1612.5518777449504,1610.5876134445407,9.599689149062659,20.423867258364925,1197.4455226388968,1651.6711147832777,1556.1055209589097,12.645378483828154,19.364009181437897,37.66406862420516,26.800812235363157
