Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2021-07-29,144.0500030517578,144.64999389648438,141.89999389648438,142.14999389648438,107.90428161621094,8237916,0.0,0,17.438490869147067
2021-07-30,142.3000030517578,144.89999389648438,141.25,143.3000030517578,108.77723693847656,9526451,0.0,0,18.347207880806526
2021-08-02,144.3000030517578,144.89999389648438,143.10000610351562,143.89999389648438,109.2326889038086,6164197,0.0,0,19.191016534490306
2021-08-03,143.89999389648438,144.75,143.0,144.25,109.49835968017578,5648929,0.0,0,20.014695285728955
2021-08-04,144.14999389648438,147.35000610351562,144.14999389648438,144.6999969482422,109.83995819091795,8839351,0.0,0,19.06265831833514
2021-08-05,145.0,145.89999389648438,142.1999969482422,145.4499969482422,110.40925598144533,6237158,0.0,0,19.040499466984357
2021-08-06,145.60000610351562,148.4499969482422,145.25,146.10000610351562,110.90267944335938,10812438,0.0,0,17.713219890867258
2021-08-09,147.5,147.85000610351562,142.35000610351562,143.25,108.73926544189452,12986298,0.0,0,17.609288661456116
2021-08-10,143.6999969482422,144.25,140.75,142.1999969482422,107.94223022460938,14022502,0.0,0,18.028277884977513
2021-08-11,142.89999389648438,144.35000610351562,141.14999389648438,143.9499969482422,109.2706298828125,8356558,0.0,0,18.36647178225221
2021-08-12,144.0500030517578,146.6999969482422,143.6999969482422,144.39999389648438,109.61221313476562,7685737,0.0,0,17.563681636543002
2021-08-13,145.0500030517578,146.3000030517578,143.1999969482422,143.75,109.11881256103516,9455100,0.0,0,17.006339317336604
2021-08-16,143.8000030517578,144.14999389648438,141.75,142.0,107.7904052734375,5259207,0.0,0,17.013179333651113
2021-08-17,142.10000610351562,142.5500030517578,137.1999969482422,139.25,105.70293426513672,13714266,0.0,0,18.296368223044876
2021-08-18,139.25,140.25,138.0,138.35000610351562,105.0197525024414,7654460,0.0,0,19.487900763196226
2021-08-20,137.5,138.0500030517578,135.0,135.60000610351562,102.93225860595705,8877297,0.0,0,21.251749913773658
2021-08-23,136.3000030517578,136.39999389648438,132.75,133.9499969482422,101.67976379394533,7768805,0.0,0,23.298675991579188
2021-08-24,134.35000610351562,136.89999389648438,134.0,136.1999969482422,103.38771057128906,7452062,0.0,0,24.94277812489761
2021-08-25,136.5,139.14999389648438,136.5,138.85000610351562,105.39929962158205,7817617,0.0,0,25.381952888695583
2021-08-26,138.85000610351562,139.39999389648438,136.35000610351562,137.3000030517578,104.22270965576172,6845692,0.0,0,25.67460495587972
2021-08-27,137.89999389648438,139.3000030517578,137.0500030517578,138.5500030517578,105.17156982421876,4418540,0.0,0,25.946353303979272
2021-08-30,138.60000610351562,143.9499969482422,138.60000610351562,143.60000610351562,109.00494384765624,11333690,0.0,0,24.259613822113643
2021-08-31,143.60000610351562,146.14999389648438,143.25,145.85000610351562,110.71289825439452,14301855,0.0,0,23.065688230423955
2021-09-01,146.60000610351562,146.64999389648438,143.89999389648438,144.1999969482422,109.4604034423828,8415876,0.0,0,22.109446600373335
2021-09-02,143.8000030517578,143.8000030517578,141.1999969482422,141.60000610351562,110.16057586669922,7787657,3.5,0,20.765872487536466
2021-09-03,141.89999389648438,147.14999389648438,141.75,146.35000610351562,113.85594940185548,12734022,0.0,0,20.054237643142127
2021-09-06,147.8000030517578,147.85000610351562,144.3000030517578,146.35000610351562,113.85594940185548,9712271,0.0,0,19.583332846012134
2021-09-07,147.0,148.10000610351562,145.5500030517578,147.1999969482422,114.5172119140625,9475870,0.0,0,19.21612088600073
2021-09-08,147.35000610351562,149.85000610351562,146.3000030517578,149.14999389648438,116.03426361083984,7873034,0.0,0,19.35617433868352
2021-09-09,149.14999389648438,150.9499969482422,148.0,148.64999389648438,115.64527893066406,9519564,0.0,0,19.77103934173197
